Date,404s,410s
20/06/2019,1,0
20/12/2019,1,0
22/12/2019,3,0
06/01/2020,35,0
07/01/2020,146,0
08/01/2020,306,0
09/01/2020,592,0
10/01/2020,2014,0
11/01/2020,5608,0
12/01/2020,3498,0
13/01/2020,954,0
14/01/2020,167,0
15/01/2020,293,0
16/01/2020,1152,0
17/01/2020,1113,0
18/01/2020,623,0
19/01/2020,1383,0
20/01/2020,688,0
21/01/2020,384,0
22/01/2020,0,0
01/02/2020,1,0
15/02/2020,2,0
16/02/2020,0,0
20/03/2020,1,0
21/03/2020,0,0
05/04/2020,2,0
03/06/2020,1,0
10/06/2020,1,0
01/07/2020,2,0
13/07/2020,2,0
02/08/2020,2,0
08/08/2020,1,0
19/08/2020,1,0
20/08/2020,0,0
23/08/2020,2,0
02/09/2020,317,0
03/09/2020,359,0
04/09/2020,1789,0
05/09/2020,1958,0
06/09/2020,1723,0
07/09/2020,404,0
08/09/2020,142,0
09/09/2020,168,0
10/09/2020,121,0
11/09/2020,22,0
12/09/2020,212,0
13/09/2020,6255,0
14/09/2020,3729,0
15/09/2020,3641,0
16/09/2020,3290,0
17/09/2020,1053,0
18/09/2020,969,0
19/09/2020,3222,0
20/09/2020,4511,0
21/09/2020,1333,0
24/09/2020,44,0
25/09/2020,14,0
26/09/2020,106,0
27/09/2020,60,0
28/09/2020,9,0
30/09/2020,48,0
01/10/2020,26,0
02/10/2020,137,0
07/10/2020,33,0
08/10/2020,2003,0
09/10/2020,1560,0
10/10/2020,1391,0
11/10/2020,1320,0
12/10/2020,978,2271
13/10/2020,934,2964
14/10/2020,813,3110
15/10/2020,420,2923
16/10/2020,55,2752
17/10/2020,67,2760
18/10/2020,39,3060
19/10/2020,29,2931
20/10/2020,44,2927
21/10/2020,58,3618
22/10/2020,25,3311
23/10/2020,29,3248
24/10/2020,43,3656
25/10/2020,52,4493
26/10/2020,29,4085
27/10/2020,45,4075
28/10/2020,38,4108
29/10/2020,39,4149
30/10/2020,33,3621
31/10/2020,37,3431
01/11/2020,23,4498
02/11/2020,7,3925
03/11/2020,15,3391
04/11/2020,31,3340
05/11/2020,54,3962
06/11/2020,40,3672
07/11/2020,57,4156
08/11/2020,37,5017
09/11/2020,15,4615
10/11/2020,42,3416
11/11/2020,36,5211
12/11/2020,32,5628
13/11/2020,31,4848
14/11/2020,37,5771
15/11/2020,36,5606
16/11/2020,30,4544
17/11/2020,71,4626
18/11/2020,50,4710
19/11/2020,46,4796
20/11/2020,286,4756
21/11/2020,394,5203
22/11/2020,565,5621
23/11/2020,453,4815
24/11/2020,390,4834
25/11/2020,326,4894
26/11/2020,399,4775
27/11/2020,329,4602
28/11/2020,395,5393
29/11/2020,389,6281
30/11/2020,370,5421
01/12/2020,324,4622
02/12/2020,283,4361
03/12/2020,13,4604
04/12/2020,13,4508
05/12/2020,14,5012
06/12/2020,42,5747
07/12/2020,29,5040
08/12/2020,53,5061
09/12/2020,23,4896
10/12/2020,16,4911
11/12/2020,13,4275
12/12/2020,17,4277
13/12/2020,37,5048
14/12/2020,181,4269
15/12/2020,238,3790
16/12/2020,363,3429
17/12/2020,485,3435
18/12/2020,564,3222
19/12/2020,531,2942
20/12/2020,1125,3356
21/12/2020,1039,3075
22/12/2020,996,3075
23/12/2020,1081,2822
24/12/2020,776,2011
25/12/2020,614,1466
26/12/2020,988,2154
27/12/2020,710,3027
28/12/2020,601,3495
29/12/2020,568,3643
30/12/2020,673,3418
31/12/2020,592,2963
01/01/2021,613,3125
02/01/2021,723,3591
03/01/2021,719,3398
04/01/2021,554,2754
05/01/2021,777,2901
06/01/2021,716,2893
07/01/2021,709,2441
08/01/2021,721,2299
09/01/2021,795,2538
10/01/2021,881,2824
11/01/2021,792,2331
12/01/2021,961,2572
13/01/2021,1035,2475
14/01/2021,2954,445
